,Ivdd (A),Ivdd1v8 (A)
0,1.9828028724672228e-07,9.7581758045292e-07
1,7.854684208037816e-06,1.4022419574468077e-06
2,1.7936134126040443e-07,9.698359512485136e-07
3,6.379471634584013e-06,1.056237455138663e-06
4,1.3010340212631568e-05,1.2340787157894738e-06
5,8.422832167441867e-06,1.14079608139535e-06
6,8.060118856447686e-06,1.0941296520681277e-06
7,5.930116210769225e-06,1.1089959815384608e-06
8,1.8432460598802389e-07,9.321531053892218e-07
9,5.186033944839858e-06,1.2435472081850542e-06
10,6.713190032822758e-06,1.112805512035011e-06
11,9.91227855333334e-06,1.2781152822222225e-06
12,1.5487798558322406e-05,1.270515011795546e-06
13,1.4219316520467827e-05,1.1458010204678368e-06
14,1.6130540291262141e-06,8.15807910194175e-07
15,7.791157428904428e-06,1.3803012424242434e-06
16,2.885786027868851e-06,9.868042950819676e-07
17,1.6231794221748417e-06,8.389461023454156e-07
18,1.677860081967212e-06,8.219617889344259e-07
19,1.8761066531986549e-06,9.723404057239058e-07
20,1.6878376883333334e-06,9.021493299999995e-07
21,1.990680611235956e-06,7.824991685393253e-07
22,1.8935083847826086e-06,7.791098152173911e-07
23,1.9691077590090105e-06,8.107328626126127e-07
24,1.811263288676236e-06,1.1584197129186605e-06
25,1.514002401330378e-06,7.18033232815965e-07
26,1.7860531593495927e-06,9.301260585365858e-07
27,1.8783533218390794e-06,9.449980287356315e-07
28,1.576529727699532e-06,7.925291291079815e-07
29,1.8226404743326487e-06,8.794651252566736e-07
30,1.95834897005988e-07,9.310009772455102e-07
31,1.171030391025642e-06,1.0042997211538451e-06
32,0.005364614254215306,3.340695849546043e-05
33,1.8353110535331922e-06,2.2060008993576043e-06
34,0.005236594640957451,2.3526122340425525e-05
35,0.004910968390957447,2.1367091489361697e-05
36,1.1099551364705883e-06,4.671512705882349e-06
37,1.89250633213859e-07,2.894444038231778e-06
38,1.865084539007093e-07,2.583424196217496e-06
39,0.005483754071618037,2.4533920424403155e-05
40,1.696812279120879e-06,3.115157912087909e-06
41,0.005534021451398134,3.831282170439414e-05
42,7.394464766949156e-05,6.120771186440671e-06
43,1.8511098929845424e-07,3.6653958145065396e-06
44,1.957674290780144e-07,3.580318156028364e-06
45,0.009351870066225159,4.9822881986755e-05
46,1.7686628470588236e-07,3.522134329411764e-06
47,0.007042201864181101,4.06283902796272e-05
48,0.003826154561170211,1.9237172473404264e-05
49,1.9906750436590434e-06,1.6179571164241184e-06
50,0.0026872816973684197,1.3284238157894725e-05
51,0.002790308806366046,1.3297815119363408e-05
52,1.582038680387409e-06,2.077108886198547e-06
53,0.0045502817631224764,2.021452462987885e-05
54,1.6701708219178092e-06,2.1110392511415523e-06
55,0.003700181220472445,1.7424130052493403e-05
56,1.5916353750000005e-06,2.457549288793103e-06
57,0.007024349080000001,2.6873764133333328e-05
58,1.3577601632183896e-06,2.3917848735632187e-06
59,0.004952052589641434,2.115312921646748e-05
60,1.5811217172995796e-06,2.5968106751054845e-06
61,0.0035357750661375656,3.587380608465609e-05
62,0.006654370172872336,3.428667925531915e-05
63,0.00778384761968085,3.504061250000001e-05
